id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
423108,The Conjuring: The Devil Made Me Do It,7.4,6323,Released,2021-05-25,206444123,111,39000000,tt7069210,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",20.1968,The demonic case that shocked America.,"Horror, Mystery, Thriller","new line cinema, the safran company, atomic monster",United States of America,"English, Português","Vera Farmiga, Paul Wilson, John Noble, Nicholas Massouh, Megan Ashley Brown, Nicky Buggs, Stacy Johnson, Keith Arthur Bolden, Julian Hilliard, Eugenie Bondurant, Davis Osborne, Ingrid Bisu, Rebecca Lines, Kaleka, Steve Coulter, Robert Walker Branchaud, Sarah Catherine Hook, Lindsay Ayliffe, Ruairí O'Connor, Chris Greene, Charlene Amoia, Vince Pisani, Mitchell Hoog, Ashley LeConte Campbell, Mark Rowe, Patrick Wilson, Andrea Andrade, Sterling Jerins, Fabio William, Shannon Kook, Stella Doyle, Ronnie Gene Blevins",Michael Chaves,Michael Burgess,"Chad Hayes, David Leslie Johnson-McGoldrick, James Wan, Carey Hayes","James Wan, Victoria Palmeri, Dave Neustadter, Judson Scott, Richard Brener, Peter Safran, Michelle Morrissey, Michael Clear",Joseph Bishara,6.2,163078,/rQfX2xx8TUoNvyk892yKWNikJaM.jpg,5,2021,21,the conjuring: the devil made me do it,-43,19.14554034779396,0.4351259169953173,black widow
337404,Cruella,8.0,9775,Released,2021-05-26,233503234,134,200000000,tt3228774,en,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",13.8115,Hello cruel world.,"Comedy, Crime, Adventure","walt disney pictures, gunn films, marc platt productions",United States of America,"English, Français","Kayvan Novak, Tipper Seifert-Cleveland, Paul Bazely, Haruka Abe, Emma Stone, Emma Thompson, Joshua Hill, Hannah Stokely, Maeve Chadwick, Asmara Gabrielle, Joseph MacDonald, Jacqueline Chan, Trevor Laird, Joel Fry, John McCrea, Sarah Crowden, Jack Barry, Chris Ryman, Ed Kear, Crystal Wingx, Ziggy Gardner, Waleed Akhtar, Janet Henfrey, Linette Beaumont, Peter Singh, Emily Beecham, Mark Strong, Andrew Leung, Harrison Willmott, Robert Cawsey, Kirby Howell-Baptiste, Steve Edge, Surinder Duhra, Nathan Amzi, Carl Rice, Angela Sims, Richard David-Caine, Ross Carter, Leo Bill, John Mackay, Graham Kitchen, Florisa Kamara, Helena Dowling, Ed Birch, Abraham Popoola, Hermione Gulliford, Geoffrey Burton, Niamh Lynch, Tim Steed, Geraldine Fitzgerald, Tom Turner, Dylan Lowe, Joey Akubeze, Billie Gadsdon, Thomas Padden, Nell Chadwick, Jane How, Robert Ryan, Elizabeth Marcano-Mortlock, Javone Prince, Michelle Greenidge, Paul Walter Hauser, Sid Sagar, Jamie Demetriou, Conor Moloney, Paul Chowdhry, Ninette Finch, Camilla Roholm",Craig Gillespie,Nicolas Karakatsanis,"Dodie Smith, Dana Fox, Kelly Marcel, Aline Brosh McKenna, Steve Zissis, Tony McNamara","Jared LeBoff, Emma Stone, Andrew Gunn, Kristin Burr, Marc Platt, Glenn Close, Michelle Wright",Nicholas Britell,7.3,288689,/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,5,2021,21,cruella,-42,19.268706489366977,0.44810945324109247,black widow
749004,Petite Maman,7.2,414,Released,2021-06-02,1024575,72,3100000,tt13204490,fr,Petite Maman,"After the death of her beloved grandmother, eight-year-old Nelly meets a strangely familiar girl her own age in the woods. Instantly forming a connection with this mysterious new friend, Nelly embarks on a fantastical journey of discovery which helps her come to terms with this newfound loss.",1.5133,Experience a fairytale of wonder and innocence.,"Drama, Fantasy, Family","lilies films, france 3 cinéma",France,"Français, English, Português","Nina Meurisse, Stéphane Varupenne, Gabrielle Sanz, Josée Schuller, Margot Abascal, Florès Cardo, Guylène Péan, Joséphine Sanz",Céline Sciamma,Claire Mathon,Céline Sciamma,Bénédicte Couvreur,Para One,7.4,20189,/fxl2ARZO2vRfUGDfqSz2bostauE.jpg,6,2021,22,petite maman,-35,13.839789426437767,0.38443859517882684,black widow
467909,In the Heights,7.1,760,Released,2021-06-10,45175167,143,55000000,tt1321510,en,In the Heights,"The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.",1.8423,The time has come.,"Drama, Romance","likely story, scott sanders productions, 5000 broadway productions, barrio grrrl!, endeavor content",United States of America,"English, Español","Melissa Barrera, Susan Pourfar, Lin-Manuel Miranda, Luis A. Miranda Jr., Ryan Woodle, Jimmy Smits, Daphne Rubin-Vega, Stephanie Beatriz, Bairam Rizai, Rhapsody James, Leslie Grace, Olivia Perez, Lavinia Jones Wright, Ilia Jessica Castro, Yesy Garcia, Anthony Ramos, Christopher Jackson, Delila Ramos, Jonathan Arana, Gregory Díaz IV, Corey Hawkins, Olga Merediz, Analia Gomez, Jennifer Hernandez, Mateo Gómez, Patrick Page, María Hinojosa, Hugh M Jones III, Alexandra Campos, Dascha Polanco, Javier Muñoz, The Kid Mero, Seth Stewart, Dean Scott Vazquez, Ariana S. Gomez, Ariana Greenblatt, Mason Vazquez, Marc Anthony, Valentina, Amp Ngernrungruangroj, Doreen Montalvo, Noah Catala",Jon M. Chu,Alice Brooks,"Quiara Alegría Hudes, Lin-Manuel Miranda","Anthony Bregman, Scott Sanders, Jeffrey Seller, Mara Jacobs, Lin-Manuel Miranda, Kevin McCollum, Quiara Alegría Hudes, Jill Furman, Kevin McCormick, David Nicksay","Bill Sherman, Alex Lacamoire, Lin-Manuel Miranda",7.2,55022,/RO4KoJyoQMQzh9z76d4v4FJMmJ.jpg,6,2021,23,in the heights,-27,17.62605811330671,0.6295020754752396,black widow
522931,Hitman's Wife's Bodyguard,6.664,2452,Released,2021-06-14,70060492,117,70000000,tt8385148,en,Hitman's Wife's Bodyguard,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.",5.5602,"Hit me baby, one more time.","Action, Comedy, Crime, Thriller","nu boyana film studios, summit entertainment, lionsgate, millennium media, davis films, campbell grobman films, film i väst, filmgate films","Bulgaria, France, Sweden, United States of America, United Kingdom","English, 日本語, Pусский, Español","Genevieve Barker, Harry Taurasi, Adrian Fekete, Mislav Čavajda, Vasil Yordanov, Ahmet Mehmet, Ryan Reynolds, Gary Oldman, Martina Drakulić, Csilla Barath Bastaić, Enzo Squillino Jr., Jonny James, Tin Matijević, Richard E. Grant, Samuel L. Jackson, Gabriella Wright, Ivor Bagarič, Ivan Đuričić, Sabrina Hill, Miltos Yerolemou, Tom Hopper, Genko Ivanov, Roy Hill, Barry Atsma, Sergio Torrico, James McFay, Venice Smith, Stewart Alexander, Brian Caspe, Kristofer Kamiyasu, Morgan Freeman, Tine Joustra, Tomi May, Amar Bukvić, Georgie Glen, Mariana Vekilska, Petra Kušan, Rodolfo Corsato, Antonio Banderas, Frank Grillo, Nikola Ceran, Mariana Hill, Dragan Mićanović, Blake Ritson, Tsuwayuki Saotome, Giulio Berruti, Alice McMillan, Mikhail Gorevoy, Danko Jordanov, Caroline Goodall, Rebecca Front, Noortje Herlaar, Patrick Hughes, Salma Hayek Pinault, Didi Anderson, Simón Andreu, Anna Maria Everett, Jonas Talkington, Michael Aston, Russell De Rozario, Antonio Scarpa",Patrick Hughes,Terry Stacey,"Brandon Murphy, Phillip Murphy, Tom O'Connor","Matthew O'Toole, Avi Lerner, Peter Possne, Christa Campbell, Zygi Kamasa, Boaz Davidson, Matthew Milam, Mark Gill, Jeffrey Greenstein, Trevor Short, Lati Grobman, Les Weldon, Heidi Jo Markel, Yariv Lerner, Jonathan Yunger",Atli Örvarsson,6.1,117236,/6zwGWDpY8Zu0L6W4SYWERBR8Msw.jpg,6,2021,24,hitman's wife's bodyguard,-23,18.064869612534434,0.7527029005222681,black widow
508943,Luca,7.8,8710,Released,2021-06-17,51074773,95,200000000,tt12801262,en,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,11.9218,Prepare for an unforgettable trip.,"Animation, Comedy, Fantasy, Adventure, Family",pixar,United States of America,"English, Italiano","Emma Berman, Marco Barricelli, Arturo Sorino, Marina Massironi, Sacha Baron Cohen, Peter Sohn, Francesca Fanti, Giacomo Gianniotti, Saverio Raimondo, Sandy Martin, Jack Dylan Grazer, Jim Pirri, Enrico Casarosa, Maya Rudolph, Elisa Gabrielli, Jonathan Nichols-Navarro, Jacob Tremblay, Lorenzo Crisci, Gino La Monica, Jim Gaffigan, Mimi Maynard",Enrico Casarosa,"Kim White, David Juan Bianchi","Simon Stephenson, Enrico Casarosa, Julie Lynn, Mike Jones, Randall Green, Jesse Andrews, John Hoffman, James S. Baker","Peter Sohn, Kiri Hart, Pete Docter, Andrea Warren",Dan Romer,7.4,216902,/9x4i9uKGXt8IiiIF5Ey0DIoY738.jpg,6,2021,24,luca,-20,17.748801273792775,0.8451810130377512,black widow
680813,Flee,7.8,377,Released,2021-06-17,712229,89,3400000,tt8430054,da,Flugt,"Recounted mostly through animation to protect his identity, Amin looks back over his past as a child refugee from Afghanistan as he grapples with a secret he’s kept hidden for 20 years.",1.7816,Sometimes it takes years to start living your life,"Documentary, Animation","final cut for real, vivement lundi !, sun creature, participant, mostfilm, mer film, vpro, vice studios, ryot films, left handed films, arte, rtv slovenija, estonian public broadcasting (err), media programme of the european union, i wonder pictures","Denmark, Estonia, Netherlands, Norway, Sweden, United Kingdom, United States of America, Finland, France, Slovenia, Spain, Belgium, Italy","English, Dansk, فارسی, Pусский, Français, svenska","Bo Asdal Andersen, Ditte Graa Wulff, Tormod Ringnes, Christian Torp Carlsen, Susanna Azevedo, Milad Eskandari, Vadim Nedaskovskij, Behrouz Bigdeli, Viktor Melnikov, Georg Jagunov, Denis Rivin, Sadia Faiz, Gustaf Georg Lindström, Fardin Mijdzadeh, Mauricio González-Aranda, Hafiz Højmark, Belal Faiz, Elaha Faiz, The Dungeon Master, Navid Nazir, Amin Nawabi, Zahra Mehrwarz, Rashid Aitouganov, Daniel Karimyar, Mikhail Belinson",Jonas Poher Rasmussen,,"Eskil Vogt, Kenneth Ladekjær, Jonas Poher Rasmussen, Rasmus Heisterberg","Riz Ahmed, Monica Hellström, Signe Byrge Sørensen, Charlotte de la Gournerie, Philippa Kowarsky, Nikolaj Coster-Waldau",Uno Helmersson,7.9,20864,/vlMIbqOpYG553J1kOJXA7mwQvE6.jpg,6,2021,24,flee,-20,13.476156171937824,0.6417217224732297,black widow
693827,Lansky,6.0,152,Released,2021-06-24,136579,119,5000000,tt5078852,en,Lansky,"When the aging Meyer Lansky is investigated one last time by the Feds who suspect he has stashed away millions of dollars over half a century, the retired gangster spins a dizzying tale, revealing the untold truth about his life as the notorious boss of Murder Inc. and the National Crime Syndicate.",2.0374,The man who turned crime into a billion dollar business.,"Crime, Drama, Thriller","above the clouds media group, caliwood pictures, 120db films, carte blanche, lb entertainment, lucky 13 productions, voltage pictures",United States of America,"English, עִבְרִית","Wass Stevens, Ekaterina Baker, John Magaro, James Devoti, Damien Chinappi, Sam Worthington, Shane McRae, Chase Levy, David Cade, Claudio Bellante, John Branch, Ron Fallica, Joel Michaely, AnnaSophia Robb, Rudy Eisenzopf, Demi Castro, James Moses Black, Danny A. Abeckaser, Minka Kelly, Dodge Prince, Melissa Oulton Haas, David James Elliott, Pascal Yen-Pfister, James Plannette, Dylan Flashner, Jackie Cruz, Harvey Keitel, Robert Walker Branchaud, Stacey Hinnen, Alon Aboutboul, Lowrey Brown, Sandra Ellis Lafferty, Steve Alderfer, Emily Marie Palmer, Jim E. Chandler, Joe Knezevich, Lee Broda, Vincent Minutella, Jay Giannone",Eytan Rockaway,Peter Flinckenberg,"Eytan Rockaway, Robert Rockaway","R. Wesley Sierk, Mark Holder, Russell Terlecki, Oliver Ridge, Jeff Hoffman, Jonathan Deckter, Joseph Panebianco, Christine Holder, Stephen Hays, Robert Ogden Barnum, Alan Pao, Eric Binns, Adam Edelman, Kyle Stroud, Peter Graham, Howard Scott, Nicolas Chartier, Todd Hoffman, Russell Gray, Luke Daniels, Jina Panebianco, Lee Broda, Tom Malloy, Joelle Scott, Jeff Rice, Michael Reiser",Max Aruj,6.2,11067,/brvSFZ1GMhbMzL3Is8kkvG1LbMt.jpg,6,2021,25,lansky,-13,11.82466580251508,0.8446189858939342,black widow
809717,Moonbound,6.4,90,Released,2021-06-24,6666618,81,2000000,tt14534992,de,Peterchens Mondfahrt,"When Peter sets out on a magical journey to rescue his little sister Anne, he needs to travel to mysterious territory: the Moon! Anne was kidnapped by the evil Moon Man when she tried to help the beetle Mr. Zoomzeman in search for his wife. On his fantastic adventure, Peter lands on the Star Meadow where he meets the sleepy Mr. Sandman. He knows, only at the Night Fairy’s dinner in the castle in the clouds, they can find out where Anne is – but there aren’t enough seats for everyone. So they join the wild race along the Milky Way against the five Spirits of Nature: Storm Giant, Lightning Witch, Henry Hail, Rainy Robin and Mother Frost…",2.977,An out-of-this-world adventure.,"Animation, Family","little dream entertainment, brave new work gmbh, coop99 filmproduktion","Austria, Germany",Deutsch,"Stefko Hanushevsky, Thyra Uhde, Stephan Benson, Elisabeth Kanettis, David Daria, Laurens Walter, Proschat Madani, Caroline Schreiber",Ali Samadi Ahadi,,"Gerdt von Bassewitz, Ali Samadi Ahadi, Arne Nolting","Antonin Svoboda, Ali Samadi Ahadi, Frank Geiger, Armin Hofmann, Bruno Wagner, Mohammad Farokhmanesh",Ali N. Aşkın,4.9,732,/3vSW1xRJD0MJPRXGQoAf9D3954W.jpg,6,2021,25,moonbound,-13,15.712623392824595,1.122330242344614,black widow
800497,Werewolves Within,6.0,574,Released,2021-06-25,937490,97,6500000,tt9288692,en,Werewolves Within,"When a proposed pipeline creates hostilities between residents of a small town, a newly-arrived forest ranger must keep the peace after a snowstorm confines the townspeople to an old lodge. But when a mysterious creature begins terrorizing the group, their worst tendencies and prejudices rise to the surface, and it is up to the ranger to keep the residents alive, both from each other and the monster which plagues them.",2.5233,A whodunnit with teeth.,"Horror, Comedy","vanishing angle, ubisoft film & television",United States of America,English,"Michael Chernus, Patrick M. Walsh, Anni Krueger, Harvey Guillén, Catherine Curtin, Michaela Watkins, Cheyenne Jackson, George Basil, Sam Richardson, Wayne Duvall, Milana Vayntrub, Ritz, Sarah Burns, Glenn Fleshler, Rebecca Henderson",Josh Ruben,Matt Wise,"Philippe des Pallières, Mishna Wolff, Hervé Marly","Margaret Boykin, Gerard Guillemot, Andrew Lieberman, Sam Richardson, Natalie Metzger, Jason Altman, Benjamin Wiessner",Anna Drubich,6.0,28426,/5CGgbgyvmE39Yoqa80GKsgClbQm.jpg,6,2021,25,werewolves within,-12,13.750962436780622,1.0577663412908171,black widow
539565,Zola,6.2,251,Released,2021-06-30,3500000,86,5000000,tt5439812,en,Zola,"A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",5.1852,Y'all wanna hear a story?,"Comedy, Crime","killer films, ramona films, gigi films",United States of America,"English, Español","Michael Worden, Taylour Paige, Rusty Dumhoff, Andrew Romano, Drew Rin Varick, Tony DeMil, Angelo Diaz, David Rodriguez, Doug Walker, Oleika Redd, Richard Lariviere, Harold Hernandez, Riley Keough, Ernest Lee Wilson, Jr., Bernard Lyght, Jay Dersahagian, Nelcie Souffrant, Thomas Nash, Rico Paris, Colman Domingo, Ari'el Stachel, Josh Locy, Nicholas Braun, Matt Harding, Eric Salas, Pedro Armando Medina, Tommy Foxhill, Ben Bladon, Alex Flash, Max Guevara, Michael Opal, Bob Lawton, Latasha Glenn, Sophie Hall, Shadae Mitchell, Anibal Echevarria Bonet, Nasir Rahim, Brett Chesebro, Carl Collanus, Bill Pierce, Mark Fiedler, Kyle Williams, Ts Madison, Natalie Mimms, Jason Mitchell, Ernest Emmanuel Peeples, Michael Aceveda, Joseph Sanders, Jarquale Stewart, Megan Hayes, Kalesha Johnson",Janicza Bravo,Ari Wegner,"A'Ziah King, Janicza Bravo, David Kushner, Jeremy O. Harris","Gia Walsh, Kara Baker, Christine Vachon, David Hinojosa, Elizabeth Haggard, A'Ziah King, David Kushner, Jennifer Konawal, Dave Franco, Vince Jolivette",Mica Levi,6.4,19590,/bJLCPROp9bmNndurwZpVnOioVpB.jpg,6,2021,26,zola,-7,15.068273812173887,1.8835342265217359,black widow
602223,The Forever Purge,6.9,2598,Released,2021-06-30,76994245,103,18000000,tt10327252,en,The Forever Purge,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,7.807,The rules are broken.,"Action, Horror, Thriller","blumhouse productions, platinum dunes, universal pictures, man in a tree productions, perfect world pictures",United States of America,English,"Louie Novoa, Gary Nohealii, Erin Dinsmore, Carol Cantu, Cassidy Freeman, Mark Krenik, Veronica Falcón, Zahn McClarnon, Tenoch Huerta Mejía, Willow Beuoy, Will Patton, Gregory Zaragoza, Susie Abromeit, Emily Trujillo, Yomary Cruz, Anthony Molinari, Jeffrey Doornbos, Sammi Rotibi, Ana de la Reguera, Joshua Dov, Patrick Zapata, Patrick Millin, Scott Douglas MacLachlan, Harrison Meloeny, Brett Edwards, Edward Gelhaus, Keenan Henson, Patricio Doren, Leven Rambin, Dan Mast, David Fencl, Baker Wiles, Will Brittain, Michael Aboujaoude, Alejandro Edda, Richard Allan Jones, Josh Lucas, Kat Smith",Everardo Gout,Luis David Sansans,James DeMonaco,"Everardo Gout, Marcei A. Brubaker Brown, Couper Samuelson, Andrew Form, Brad Fuller, Jason Blum, Sébastien K. Lemercier, Jeanette Volturno, James DeMonaco, Michael Bay","Taylor Stewart, Andrew Grush",5.4,47675,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg,6,2021,26,the forever purge,-7,18.15924124975301,2.269905156219126,black widow
